hrs,absences,JobInvolvement,PerformanceRating,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,Age,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeID,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,Over18,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager
7.554045069165277,17,4,3,1.0,3.0,2.0,53,Non-Travel,Research & Development,10,4,Medical,1,1011,Male,2,Healthcare Representative,Married,20700,4.0,Y,13,8,2,27.0,2,3,0,2
6.733176037483055,13,3,3,4.0,4.0,3.0,35,Travel_Rarely,Sales,2,4,Marketing,1,2720,Male,3,Manufacturing Director,Married,104660,1.0,Y,13,8,0,2.0,1,2,2,2
6.093000892458611,18,3,3,3.0,4.0,3.0,43,Travel_Rarely,Research & Development,11,2,Life Sciences,1,3581,Male,3,Laboratory Technician,Married,168350,3.0,Y,17,8,1,25.0,3,8,0,7
5.887452030343334,8,2,3,4.0,2.0,2.0,30,Travel_Rarely,Human Resources,20,4,Life Sciences,1,2625,Male,2,Research Scientist,Married,46610,1.0,Y,11,8,0,12.0,3,12,1,7
7.278759482373889,20,2,3,1.0,1.0,3.0,45,Non-Travel,Sales,2,4,Life Sciences,1,3826,Male,2,Manufacturing Director,Married,58550,1.0,Y,14,8,1,10.0,3,10,4,5
5.850547746541666,16,3,3,1.0,4.0,3.0,45,Non-Travel,Research & Development,9,2,Medical,1,4347,Female,1,Sales Executive,Married,95250,9.0,Y,19,8,0,22.0,3,20,11,8
7.252043730477222,6,3,4,3.0,4.0,2.0,45,Travel_Rarely,Research & Development,2,1,Technical Degree,1,4294,Female,2,Healthcare Representative,Single,57680,5.0,Y,23,8,1,9.0,4,6,0,3
6.770869031682222,15,3,3,2.0,3.0,3.0,50,Travel_Rarely,Sales,10,4,Life Sciences,1,1638,Female,3,Manager,Married,47870,0.0,Y,12,8,0,28.0,3,27,15,7
9.183482820169445,18,2,3,2.0,2.0,3.0,28,Travel_Rarely,Sales,1,2,Technical Degree,1,3295,Female,1,Sales Executive,Married,22310,1.0,Y,12,8,0,8.0,3,8,7,5
7.423177153056667,6,4,3,4.0,1.0,3.0,34,Travel_Frequently,Sales,2,1,Marketing,1,3698,Female,5,Manager,Divorced,26860,5.0,Y,11,8,0,10.0,3,4,1,3
